store_name,latitude,longitude
La Fraschetta di Castel Sant’Angelo,41.90012540000001,12.4667988
Cody Sushi • Pokè,41.8967068,12.4822025
Ami Pokè,41.8967068,12.4822025
Bowie by Cristina Bowerman,41.8712226,12.4865627
Gelateria Retro',41.8988676,12.4339363
Anema e cozze,41.9718327,12.5402753
Wok to Walk,41.8957487,12.472348
Il Ghiottone Naticchioni Paolo,41.765683,12.223995
Insalateria Roma,41.9083427,12.498038
Stella sushi,41.8621995,12.5688678
Vero food and smiles - Eur,41.9056133,12.4957952
Tiramisù Cafè - Tuscolana,41.8625908,12.5556726
Cucina del Teatro,41.900435,12.469465
 La Pinsotteria - Panini di Pinsa,41.9674509,12.517352
I Love Burger & much more,41.8967068,12.4822025
Lucky Sushi,41.9061126,12.4454153
Gelateria Retro',41.8988676,12.4339363
Americaland,41.8967068,12.4822025
Gelateria Retro',41.8988676,12.4339363
POK - Poll'ok,41.9110599,12.5000541
Lucky Sushi,41.9061126,12.4454153
Nonna che Pizza!,41.9079984,12.454081
Bottega Vittoria,41.9055879,12.4584324
T-Bone Station,41.8967068,12.4822025
'O Famo Strano,41.8932059,12.5157985
L'Osteria Birra del Borgo,41.9085768,12.4596545
Smokery by Roadhouse,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
Kiami,41.8910269,12.5637106
I Picciotti,41.9267016,12.4753877
La Santeria di Mare,41.88815839999999,12.5301674
Lucky Sushi,41.9061126,12.4454153
One Market,41.87010069999999,12.5313102
Gelateria Carte D'Or,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
Beerbubbles,41.88668029999999,12.5609273
America Graffiti,41.8406865,12.5520659
Il Pozzo since 1973,41.8579532,12.4408568
FOOLISH SHOP,41.8967068,12.4822025
Vero Food Colonna,41.9094634,12.467149
Halal indian restaurant,41.8998768,12.50107
L'Enoteca Gourmet,41.8728919,12.5276237
Pizzeria Ma.Gi,41.8939017,12.4390253
FOOLISH SHOP,41.8967068,12.4822025
Smokery by Roadhouse,41.8967068,12.4822025
Farina Pick Your Kind,41.9097312,12.5425921
California cookhouse,41.9385473,12.5328887
Madeleine,41.91881559999999,12.4611435
