date,temperature_celsius,precipitation_mm,snowfall_cm,weather_condition,is_raining,is_snowing
2021-10-20,14.3,0.0,0.0,clear,0,0
2021-10-21,16.7,1.4,0.0,rain,1,0
2021-10-22,18.7,6.5,0.0,rain,1,0
2021-10-23,17.1,2.5,0.0,rain,1,0
2021-10-24,17.8,0.0,0.0,clear,0,0
2021-10-25,15.7,0.0,0.0,clear,0,0
2021-10-26,15.7,3.7,0.0,rain,1,0
2021-10-27,15.8,0.0,0.0,clear,0,0
2021-10-28,13.9,0.0,0.0,clear,0,0
2021-10-29,13.2,0.0,0.0,clear,0,0
2021-10-30,14.0,1.4,0.0,rain,1,0
2021-10-31,14.4,2.9,0.0,rain,1,0
2021-11-01,16.7,17.2,0.0,rain,1,0
2021-11-02,15.4,0.0,0.0,clear,0,0
2021-11-03,16.5,28.2,0.0,rain,1,0
2021-11-04,15.2,10.6,0.0,rain,1,0
2021-11-05,11.7,4.8,0.0,rain,1,0
2021-11-06,13.3,11.4,0.0,rain,1,0
2021-11-07,17.3,12.4,0.0,rain,1,0
2021-11-08,15.2,6.7,0.0,rain,1,0
2021-11-09,14.7,7.0,0.0,rain,1,0
2021-11-10,17.2,0.5,0.0,rain,1,0
2021-11-11,15.8,23.6,0.0,rain,1,0
2021-11-12,14.8,18.0,0.0,rain,1,0
2021-11-13,13.0,0.3,0.0,rain,1,0
2021-11-14,12.6,1.8,0.0,rain,1,0
2021-11-15,14.9,3.2,0.0,rain,1,0
2021-11-16,12.6,3.8,0.0,rain,1,0
2021-11-17,11.9,0.2,0.0,rain,1,0
2021-11-18,12.9,0.0,0.0,clear,0,0
2021-11-19,12.3,0.0,0.0,clear,0,0
2021-11-20,11.5,0.0,0.0,clear,0,0
2021-11-21,10.9,0.0,0.0,clear,0,0
2021-11-22,13.0,8.5,0.0,rain,1,0
2021-11-23,12.6,5.3,0.0,rain,1,0
2021-11-24,12.0,0.0,0.0,clear,0,0
2021-11-25,12.8,23.9,0.0,rain,1,0
2021-11-26,10.4,13.6,0.0,rain,1,0
2021-11-27,12.4,13.8,0.0,rain,1,0
2021-11-28,10.8,31.1,0.0,rain,1,0
2021-11-29,6.5,13.4,0.0,rain,1,0
2021-11-30,5.7,0.0,0.0,clear,0,0
2021-12-01,9.2,11.2,0.0,rain,1,0
2021-12-02,11.4,30.8,0.0,rain,1,0
2021-12-03,9.4,0.0,0.0,clear,0,0
2021-12-04,8.2,2.9,0.0,rain,1,0
2021-12-05,12.0,3.9,0.0,rain,1,0
2021-12-06,6.4,0.4,0.0,rain,1,0
2021-12-07,5.7,0.0,0.0,clear,0,0
2021-12-08,7.9,23.3,0.0,rain,1,0
2021-12-09,8.5,4.1,0.0,rain,1,0
2021-12-10,5.0,7.6,0.0,rain,1,0
2021-12-11,7.4,1.0,0.0,rain,1,0
2021-12-12,7.5,0.0,0.0,clear,0,0
2021-12-13,5.8,0.0,0.0,clear,0,0
2021-12-14,7.7,0.0,0.0,clear,0,0
2021-12-15,7.3,0.0,0.0,clear,0,0
2021-12-16,7.0,0.0,0.0,clear,0,0
2021-12-17,7.1,0.0,0.0,clear,0,0
2021-12-18,6.0,0.0,0.0,clear,0,0
2021-12-19,5.3,0.0,0.0,clear,0,0
2021-12-20,5.2,0.0,0.0,clear,0,0
2021-12-21,5.6,0.0,0.0,clear,0,0
2021-12-22,8.2,4.0,0.0,rain,1,0
2021-12-23,7.1,0.1,0.0,rain,1,0
2021-12-24,10.8,1.3,0.0,rain,1,0
2021-12-25,13.5,17.5,0.0,rain,1,0
2021-12-26,12.5,10.1,0.0,rain,1,0
2021-12-27,10.3,1.4,0.0,rain,1,0
2021-12-28,11.6,5.8,0.0,rain,1,0
2021-12-29,12.3,0.1,0.0,rain,1,0
2021-12-30,9.9,0.0,0.0,clear,0,0
2021-12-31,10.0,0.0,0.0,clear,0,0
2022-01-01,8.0,0.0,0.0,clear,0,0
2022-01-02,7.6,0.0,0.0,clear,0,0
2022-01-03,10.1,0.3,0.0,rain,1,0
2022-01-04,12.5,0.6,0.0,rain,1,0
2022-01-05,13.2,4.7,0.0,rain,1,0
2022-01-06,9.6,0.9,0.0,rain,1,0
2022-01-07,7.4,0.6,0.0,rain,1,0
2022-01-08,4.8,0.0,0.0,clear,0,0
2022-01-09,3.7,2.9,0.0,rain,1,0
2022-01-10,6.3,0.2,0.0,rain,1,0
2022-01-11,7.8,0.0,0.0,clear,0,0
2022-01-12,7.0,1.7,0.0,rain,1,0
2022-01-13,5.9,0.0,0.0,clear,0,0
2022-01-14,4.2,0.0,0.0,clear,0,0
2022-01-15,6.4,0.0,0.0,clear,0,0
2022-01-16,6.2,0.0,0.0,clear,0,0
2022-01-17,5.7,0.0,0.0,clear,0,0
2022-01-18,5.7,0.0,0.0,clear,0,0
2022-01-19,5.7,0.0,0.0,clear,0,0
2022-01-20,8.8,4.0,0.0,rain,1,0
2022-01-21,7.0,0.0,0.0,clear,0,0
2022-01-22,4.9,0.0,0.0,clear,0,0
2022-01-23,4.7,0.0,0.0,clear,0,0
