country_code,city_code,store_name
IT,ROM,Bottiglieria Pigneto
IT,ROM,Ami Pokè
IT,ROM, Chiancheria Gourmet
IT,ROM, Mattarello D'Oro
IT,ROM,Siam Cuisine
IT,ROM,Gino Piada
IT,ROM,FOOLISH SHOP
IT,ROM,One Market
IT,ROM,One Market
IT,ROM,Mine
IT,ROM,La Fraschetta di Castel Sant’Angelo
IT,ROM,FOOLISH SHOP
IT,ROM,Magnum Pleasure @ Home
IT,ROM,FOOLISH SHOP
IT,ROM,L'Enoteca di Francesco
IT,ROM,Caffetteria Gio
IT,ROM,Kathmandu fast food
IT,ROM,Nonna che Pizza!
IT,ROM,Americaland
IT,ROM,Enoteca Vago In Vino
IT,ROM,Burrito’s Way
IT,ROM,Bakery House
IT,ROM,Colazione & Pasticceria @ Dolcevita
IT,ROM,Mavi
IT,ROM,One Market
IT,ROM,American Candy Corner
IT,ROM,The Gipsy Bar
IT,ROM,Tyler Ponte Milvio
IT,ROM,Gazometro 38
IT,ROM,SaSa Sandwich and Salad
IT,ROM,FOOLISH SHOP
IT,ROM,Martinucci Laboratory
IT,ROM,La casa de los Burritos
IT,ROM,L'Enoteca Gourmet
IT,ROM,Le lasagne di Nonna Rosa
IT,ROM,Sushi Shop
IT,ROM,Il Ghiottone Naticchioni Paolo
IT,ROM,Stella sushi
IT,ROM,Maoli'- La Boutique Dei Sapori
IT,ROM,Viva Nachos
IT,ROM,Pokè By Daruma
IT,ROM,Americaland
IT,ROM,Old Wild West
IT,ROM,Maremma Gourmet
IT,ROM,Pizzeria al 136
IT,ROM,Insalateria Roma
IT,ROM,Il Ghiottone Naticchioni Paolo
IT,ROM,Poke Poke
IT,ROM,Sfilatino Gourmet
IT,ROM,"La Cucina di Mamma @Pasta, Pizza & Drink"
IT,ROM,Wizard Pokè Hawaiian Restaurant
IT,ROM,America Graffiti
IT,ROM,SPARTA
IT,ROM,Madeleine
IT,ROM,L'Enoteca Gourmet
IT,ROM,Dolce Green
IT,ROM,Vero Food Colonna
IT,ROM,Americaland
IT,ROM,Il Ghiottone Naticchioni Paolo
IT,ROM,LM Frutta
IT,ROM,Gotha Roma Sushi Restaurant
IT,ROM,Grammo
IT,ROM,Beerbubbles
IT,ROM,Bombay ristorante indiano
IT,ROM,SPARTA
IT,ROM,Junior Pizza Chef Gluten Free
IT,ROM,Dazio
IT,ROM,ODStore
IT,ROM,Flower burger
IT,ROM,L'Enoteca Gourmet
