country_code,city_code,store_name,latitude,longitude
IT,ROM,Burger Art,41.8656774,12.4466808
IT,ROM,Gelateria La Romana,41.8967068,12.4822025
IT,ROM,Obicà Mozzarella Bar - Parlamento,41.9022945,12.4761371
IT,ROM,Mexican Poke,41.9083519,12.4979873
IT,ROM,Ciò fame,41.9180597,12.4610932
IT,ROM,Eataly - Pizza & Cucina,41.8711952,12.4867932
IT,ROM, Il pomodorillo,41.8763483,12.520155
IT,ROM,Piacere Matilda,41.8780709,12.5183379
IT,ROM,L'Enoteca di Francesco,41.8728919,12.5276237
IT,ROM,Imperio Gaucho Churrascaria,41.8629826,12.4781607
IT,ROM,Ben & Jerry's Food House,41.9083427,12.498038
IT,ROM,Extra Bowl - Pokè,41.8596639,12.4575672
IT,ROM,Dolce Green,41.90312369999999,12.4819733
IT,ROM,I Love Poke,41.87194,12.56738
IT,ROM,Panificio Lintozzi,41.9078046,12.4611799
IT,ROM,Arriba - Mexican Grill,41.9045889,12.5044974
IT,ROM,Mine,41.8967068,12.4822025
IT,ROM,Magnum Pleasure @ Home,41.9004978,12.483739
IT,ROM,Bakery House,41.923267,12.5107395
IT,ROM,Mavi,41.8967068,12.4822025
IT,ROM,Martinucci Laboratory,41.900394,12.5014121
IT,ROM,Pizzeria al 136,41.8686026,12.641817
IT,ROM,Gotha Roma Sushi Restaurant,41.9282066,12.4865668
IT,ROM,Junior Pizza Chef Gluten Free,41.9391098,12.5781278
IT,ROM,Capatoast - Prenestina,41.8842273,12.6070586
IT,ROM,Fantasie di Gola,41.8967068,12.4822025
IT,ROM,Sushi Kong,41.8817377,12.4601123
IT,ROM,Mandala Poke,41.86784369999999,12.4939046
IT,ROM,Porto-Fish & Chips,41.8967068,12.4822025
IT,ROM,A-Pollo,41.9156507,12.4368127
IT,ROM,Il Pincetto,41.9341038,12.4261536
IT,ROM,Paluma Cocktail Lab,41.8693112,12.5171093
IT,ROM,Mozzichi pret a porter,41.8891958,12.5254169
IT,ROM,Burgez,41.9087185,12.4548855
IT,ROM,Porcadella,41.9097107,12.4670075
IT,ROM,Sfizi e Delizie,41.8745595,12.4512964
IT,ROM,Casa Ciambella,41.8967774,12.4769384
IT,ROM,Trattoria Vaticano Giggi,41.9067585,12.4588253
IT,ROM,Lo stravizio street food,41.834436,12.4249355
IT,ROM,Cornetto - Gelato,41.8967068,12.4822025
IT,ROM,S.A.N.O.,41.9111528,12.5000398
IT,ROM,Queen Bowls & Salads,41.8967068,12.4822025
IT,ROM,Pizzeria 3 Scalini,41.9464383,12.4737124
IT,ROM,Scomodo,41.8833078,12.532345
IT,ROM,Gino Sorbillo Lievito Madre,41.8984164,12.5041733
IT,ROM,Burgerland,41.9122829,12.5205983
IT,ROM,Betty's Burger,41.8967068,12.4822025
IT,ROM,Market,41.8967068,12.4822025
IT,ROM,Poke House,41.8967068,12.4822025
IT,ROM,Crema e Cioccolato,41.8967068,12.4822025
IT,ROM,Gelateria Lanzallotto,41.9357266,12.516069
IT,ROM,La saletta di paperi e papere,41.8893745,12.5612885
IT,ROM,Octopus,41.9072822,12.5046675
IT,ROM,Breakfast Rome,41.876983,12.4498484
IT,ROM,Pastasciutta,41.9120253,12.4753354
IT,ROM,Forno Fagiani,41.9028778,12.5055105
IT,ROM,Pinsa Street,41.9243068,12.4031514
IT,ROM,Lovbau by Il Mondo a 4 Zampe Parioli,41.923213,12.4772796
IT,ROM,Sweet Dreams,41.892809,12.505638
IT,ROM,Domino's pizza,41.8967068,12.4822025
IT,ROM,Pokè by Daruma - Kosher,41.8928804,12.4779763
IT,ROM,martino pizza & polli dal 1984,41.8641061,12.5481082
IT,ROM,KFC,41.8967068,12.4822025
IT,ROM,Box 19 BBQ Grill - Burgers & Baguettes,41.8967068,12.4822025
IT,ROM,Mister Poke,41.8995448,12.5367838
IT,ROM,Vero Food XX Settembre,41.9056133,12.4957952
IT,ROM,FarinArte,41.92865219999999,12.5250731
IT,ROM,Mama Pokè,41.8321152,12.4664722
IT,ROM,Zumi sushi,41.8475446,12.4787235
IT,ROM,Pomodorum,41.89631929999999,12.4947581
IT,ROM,Crea il tuo Menù,41.9410998,12.5491777
IT,ROM,Festa Vino e Snack,41.8938307,12.4894858
IT,ROM,Pizzeria Al Baraka halal,41.8967068,12.4822025
IT,ROM,Il Vero Alfredo,41.9059185,12.477281
IT,ROM,Pizza Pig,41.9039171,12.5005513
IT,ROM,Sandwiches & Bowls by 12oz Coffee Joint,41.901424,12.502325
IT,ROM,OiSushi,41.8968582,12.4733613
