city,restaurant,latitude,longitude,neighborhood
Montreal,M4 Burrito (Rue St-Denis),45.51596019999999,-73.5649006,TOD quartier Berri UQAM
Montreal,3 Amigos,45.4944244,-73.5789844,Ville-Marie
Montreal,World Tea House 世界茶饮,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Bistro CO UT,45.5218748,-73.5702607,Le Plateau-Mont-Royal
Montreal,Pizza Saint Henri,45.4770135,-73.58699659999999,Saint-Henri
Montreal,Vua,45.500133,-73.5652994,Vieux-Montréal
Montreal,Restaurant Pho Maisonneuve,45.5174403,-73.5588836,TOD quartier Berri UQAM
Montreal,Restaurant Santa Lucia,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Mclean's Pub,45.49954229999999,-73.57214069999999,Ville-Marie
Montreal,Pho Bac 97 (Boul St-Laurent),45.5078836,-73.5598317,Quartier Chinois
Montreal,COQCOR,45.4948645,-73.5769071,Ville-Marie
Montreal,Bowhead Pub,45.5119283,-73.56184990000001,Quartier des Spectacles
Montreal,Eko Sushi,45.480269,-73.579506,Saint-Henri
Montreal,Olivia's Authentic Chicken,45.4974183,-73.577794,Ville-Marie
Montreal,Takara,45.5011514,-73.5733774,Ville-Marie
Montreal,Coco Rico,45.5164701,-73.5777592,Le Plateau-Mont-Royal
Montreal,La Cage,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Nos Thes,45.4949423,-73.5782622,Ville-Marie
Montreal,L'appétissant Sichuan,45.5015733,-73.5590174,Vieux-Montréal
Montreal,Kinton Ramen Canada,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Arahova Souvlaki Saint Viateur,45.5226294,-73.60164139999999,Mile-End
Montreal,YUMI,45.4963176,-73.578297,Ville-Marie
Montreal,Restaurant Shi Tang,45.4952405,-73.5793928,Ville-Marie
Montreal,Montreal Pool Room,45.5097066,-73.5631978,Quartier Chinois
Montreal,Hansang,45.5197108,-73.5967383,Mile-End
Montreal,Sushi Inbox,45.5050541,-73.57159519999999,Quartier des Spectacles
Montreal,Bhandari Cuisine Indienne,45.49483499999999,-73.58003269999999,Ville-Marie
Montreal,Mizan gourmet,45.493037,-73.5796579,Ville-Marie
Montreal,Chef Lee,45.492845,-73.5807318,Ville-Marie
Montreal,Pizza Pizza,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Restaurant Nippon (E 52nd St),45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Centrale Bergham,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Chez Bong,45.5081382,-73.5596558,Quartier Chinois
Montreal,Royal Snacks,45.5115361,-73.56654449999999,Quartier des Spectacles
Montreal,New System Bar BQ,45.48065580000001,-73.5792397,Saint-Henri
Montreal,Mr. Gao China Restaurant 高老庄,45.4958868,-73.5788417,Ville-Marie
Montreal,Café casa de pastel,45.5168984,-73.58999709999999,Le Plateau-Mont-Royal
Montreal,Burger Bar,45.4980542,-73.5770671,Ville-Marie
Montreal,Hot Star Large Fried Chicken 豪大大鸡排（Quebec),45.4925096,-73.58104329999999,Ville-Marie
Montreal,Bird Bar,45.4882301,-73.5684093,Le Sud-Ouest
Montreal,Brotelli Pasta Bar,45.498543,-73.5709984,Ville-Marie
Montreal,Restaurant Chillax,45.5089613,-73.5729072,Le Plateau-Mont-Royal
Montreal,Cafe et Crêpe,45.50578609999999,-73.5672,Quartier des Spectacles
Montreal,Milton B,45.50918530000001,-73.5737272,Le Plateau-Mont-Royal
Montreal,Ugo Pizzeria,45.4972505,-73.5531649,Vieux-Montréal
Montreal,Yifang Fruit Tea Chinatown Montreal,45.5069919,-73.560523,Quartier Chinois
Montreal,Columbus Café,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Asoo restaurant,45.4961841,-73.5818934,Ville-Marie
Montreal,Tipsy Cow,45.510434,-73.57502509999999,Le Plateau-Mont-Royal
Montreal,Resto Séoul,45.5225654,-73.5793621,Le Plateau-Mont-Royal
Montreal,Tampopo,45.526886,-73.579531,Le Plateau-Mont-Royal
Montreal,Mr. Puffs,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Kabiga Thé (St Catherine Ouest),45.4943248,-73.5803851,Ville-Marie
Montreal,McGill pizza enr,45.5070854,-73.5761783,Le Plateau-Mont-Royal
Montreal,Da Giovanni,45.5115388,-73.5625699,Quartier des Spectacles
Montreal,Fisshu,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Second Pizza,45.4888835,-73.5862622,Ville-Marie
Montreal,La Baguette Farcie (Rue Saint-Louis),45.5014378,-73.6815745,Saint-Laurent
Montreal,RESTAURANT ARTIGIANI,45.524973,-73.5847663,Le Plateau-Mont-Royal
Montreal,Restaurant Copoli 2,45.5204425,-73.586238,Le Plateau-Mont-Royal
Montreal,Lakshana's Chettinad Indian Restaurant,45.4931771,-73.5795189,Ville-Marie
Montreal,Pizzeria Moretti,45.5026142,-73.5682612,Quartier des Spectacles
Montreal,Maynard,45.5133727,-73.5728474,Le Plateau-Mont-Royal
Montreal,Flat Belly Deli Halal,45.4977539,-73.5785052,Ville-Marie
Montreal,Saint-Houblon Quartier Latin,45.51474,-73.5622101,Ville-Marie
Montreal,Couche-Tard,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Madina Supermaket,45.5116604,-73.56679319999999,Quartier des Spectacles
Montreal,Kafe Kafta,45.5212858,-73.597023,Mile-End
Montreal,Chatime Chinatown,45.5075206,-73.5602622,Quartier Chinois
Montreal,La Belle Et La Boeuf,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,L'Academie (Crescent),45.498243,-73.578266,Ville-Marie
Montreal,Escondite Vieux Montréal,45.505375,-73.553839,Vieux-Montréal
Montreal,Chez-Devi,45.49754,-73.577043,Ville-Marie
Montreal,Royal Biryani Restaurant,45.4959268,-73.57884349999999,Ville-Marie
Montreal,Spicy Noodle Express,45.510347,-73.5750614,Le Plateau-Mont-Royal
Montreal,Rumi,45.5193123,-73.5983517,Mile-End
Montreal,Lotus Plus - Centre des mets chinois à Montréal,45.5273145,-73.58009299999999,Le Plateau-Mont-Royal
Montreal,Jardin Du Cerf,45.508857,-73.562068,Quartier Chinois
Montreal,Chez anna,45.517529,-73.58109809999999,Le Plateau-Mont-Royal
Montreal,Tim Hortons,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Casina,45.52092409999999,-73.5998767,Mile-End
Montreal,Sho-Dan,45.5017117,-73.5746173,Quartier des Spectacles
Montreal,La Belle Corée,45.5226173,-73.5958145,Mile-End
Montreal,Venice,45.5032017,-73.55638569999999,Vieux-Montréal
Montreal,Make a Shake,45.5086519,-73.572295,Le Plateau-Mont-Royal
Montreal,Pizza City,45.5263389,-73.5591361,Ville-Marie
Montreal,Pub Lord William,45.4869041,-73.56702969999999,Le Sud-Ouest
Montreal,Restaurant les Traditions Mediterranean,45.4962352,-73.58132540000001,Ville-Marie
